iter	Passed	Remaining
0	1	1185
1	1	991
2	2	912
3	3	857
4	4	852
5	5	838
6	5	815
7	6	802
8	7	792
9	7	788
10	8	778
11	9	781
12	10	830
13	11	826
14	12	833
15	13	835
16	14	820
17	14	816
18	15	809
19	16	803
20	17	795
21	17	787
22	18	779
23	19	774
24	19	765
25	20	759
26	20	752
27	21	747
28	22	743
29	22	738
30	23	736
31	24	731
32	24	728
33	25	723
34	26	720
35	26	716
36	27	718
37	28	721
38	29	720
39	29	717
40	30	713
41	31	709
42	31	706
43	32	703
44	33	701
45	33	699
46	34	696
47	34	693
48	35	690
49	36	689
50	36	686
51	37	682
52	38	680
53	38	678
54	39	675
55	39	673
56	40	671
57	41	668
58	41	666
59	43	678
60	44	677
61	44	675
62	45	674
63	46	673
64	46	672
65	47	670
66	47	668
67	48	666
68	49	664
69	49	662
70	50	660
71	51	658
72	51	657
73	52	655
74	52	653
75	53	652
76	54	649
77	54	648
78	55	647
79	56	647
80	56	645
81	57	646
82	58	643
83	58	642
84	59	641
85	60	639
86	60	637
87	61	635
88	61	633
89	62	631
90	63	630
91	63	628
92	64	627
93	64	625
94	65	623
95	66	622
96	66	620
97	67	618
98	67	617
99	68	615
100	68	614
101	69	612
102	70	613
103	71	613
104	71	613
105	72	614
106	73	615
107	74	614
108	74	612
109	75	611
110	76	609
111	76	607
112	77	606
113	77	604
114	78	603
115	78	601
116	79	599
117	79	597
118	80	595
119	81	594
120	81	593
121	82	590
122	82	589
123	83	587
124	83	585
125	84	588
126	85	586
127	85	585
128	86	584
129	87	583
130	88	584
131	88	584
132	89	583
133	90	582
134	90	580
135	91	578
136	91	577
137	92	575
138	92	574
139	93	572
140	93	571
141	94	568
142	94	566
143	95	565
144	95	564
145	96	562
146	96	561
147	97	560
148	98	559
149	99	562
150	99	561
151	100	560
152	101	559
153	101	558
154	102	558
155	103	558
156	103	557
157	104	556
158	105	556
159	105	554
160	106	552
161	106	552
162	107	551
163	107	550
164	108	549
165	109	548
166	109	546
167	110	545
168	110	544
169	111	542
170	111	541
171	112	540
172	112	539
173	113	538
174	114	537
175	114	536
176	115	535
177	115	534
178	116	533
179	116	532
180	117	531
181	118	531
182	118	530
183	119	530
184	120	529
185	120	528
186	121	527
187	121	526
188	122	525
189	123	525
190	123	524
191	124	523
192	125	523
193	125	522
194	126	523
195	127	522
196	128	522
197	128	521
198	129	520
199	130	520
200	130	519
201	131	518
202	131	517
203	132	516
204	133	517
205	134	517
206	134	516
207	135	515
208	136	515
209	136	514
210	137	514
211	138	513
212	138	512
213	139	511
214	139	510
215	140	509
216	141	509
217	141	508
218	142	507
219	142	505
220	143	504
221	143	504
222	144	503
223	145	502
224	145	501
225	146	500
226	146	499
227	148	502
228	148	501
229	149	500
230	150	500
231	150	499
232	151	499
233	152	498
234	153	498
235	153	497
236	154	496
237	154	495
238	155	494
239	155	493
240	156	493
241	157	492
242	157	491
243	158	490
244	158	489
245	159	488
246	160	487
247	160	486
248	161	486
249	161	485
250	162	485
251	163	485
252	164	485
253	164	484
254	165	483
255	166	482
256	166	481
257	167	481
258	168	480
259	168	480
260	169	479
261	170	478
262	170	478
263	171	477
264	171	476
265	172	475
266	173	475
267	173	474
268	174	473
269	174	472
270	175	471
271	175	470
272	176	470
273	177	469
274	178	470
275	179	470
276	180	469
277	180	469
278	181	468
279	181	467
280	182	467
281	183	467
282	184	466
283	184	466
284	185	465
285	186	464
286	186	464
287	187	463
288	188	463
289	188	462
290	189	461
291	189	460
292	190	459
293	191	458
294	191	457
295	192	457
296	193	458
297	194	457
298	194	457
299	195	456
300	196	455
301	196	454
